event,a,b,width,mode,old_eigenvalue,collar_min,pole_dual,arch_dual,prime_dual,total_dual,normalized_ratio,cancellation
0,0.4375,0.5493061443340549,0.11180614433405489,0,3.5968466955442e-05,0.01191491700151114,0.6889427067957542,0.4747124452002861,0.21296818792812616,0.004550008381685968,0.7586670681063131,0.0033051948559412138
0,0.4375,0.5493061443340549,0.11180614433405489,1,0.004460128297096447,0.01191491700151114,0.023571200926342458,0.33339749487843795,0.36831366642395663,0.041043500152676375,0.6145690910068137,0.056589684638894085
0,0.4375,0.5493061443340549,0.11180614433405489,2,0.142474590625717,0.01191491700151114,0.4466741747715698,0.5879346254693705,0.09118765315147362,0.25833255820732715,0.6844006853999571,0.22946648786188822
0,0.4375,0.5493061443340549,0.11180614433405489,3,0.8943727834259718,0.01191491700151114,0.0028572124030353903,0.07550122200081026,0.3169039812353264,0.24479808655920662,0.2588503350630878,0.6193305431363815
1,0.5493061443340549,0.6931471805599453,0.1438410362258904,0,3.686527396215465e-07,0.009880392220339904,0.8726859191602544,0.46562983906369676,0.4084252580038539,0.00017726951385872264,0.29196132158889493,0.00010148585978793072
1,0.5493061443340549,0.6931471805599453,0.1438410362258904,1,1.9306447012831862e-05,0.009880392220339904,0.04760585321621563,0.2864257973659989,0.3358386959398954,0.0032453721664515295,0.7386068455384578,0.0048447765799772
1,0.5493061443340549,0.6931471805599453,0.1438410362258904,2,0.0016220140970284065,0.009880392220339904,0.6419424609054991,0.5246551911022844,0.11768979365327706,0.0262869355364048,0.6526985500617727,0.020468109086649318
1,0.5493061443340549,0.6931471805599453,0.1438410362258904,3,0.09871479999994652,0.009880392220339904,0.05464842890853012,0.6435431168709349,0.7182010237929876,0.1793916864107086,0.5709672227080753,0.12665393074242062
2,0.6931471805599453,0.8047189562170501,0.11157177565710485,0,2.457536422821683e-07,0.011084765525092907,0.855761388139366,0.3918170847611526,0.46445476016190823,7.305305334500726e-05,0.14736297851759497,4.2670347709508216e-05
2,0.6931471805599453,0.8047189562170501,0.11157177565710485,1,2.2821279328433943e-06,0.011084765525092907,0.05105821530259954,0.16852559047495264,0.2196527366628728,0.0003593873000738946,0.23789906366448163,0.0008182090180318716
2,0.6931471805599453,0.8047189562170501,0.11157177565710485,2,6.417089958679177e-06,0.011084765525092907,0.3611209812513943,0.2313082426221594,0.1313598949722065,0.00028972703206980687,0.11437206273334498,0.00040029205265179987
2,0.6931471805599453,0.8047189562170501,0.11157177565710485,3,4.831970411372046e-05,0.011084765525092907,0.05609617113729611,0.2805604716848363,0.33912791153231114,0.004396948279136257,0.6325417910865448,0.006506435003292623
