n,a,amplitude,lambda_min
2,0.34657359027997264,0.9802581434685471,-4.554280256316134e-06
3,0.5493061443340549,1.268568201195128,-0.4524867763922907
4,0.6931471805599453,0.6931471805599453,-0.7423094765020375
5,0.8047189562170501,1.4395250311072008,-0.9502197616199091
7,0.9729550745276566,1.4709698080219964,-1.2821517366371111
8,1.0397207708399179,0.49012907173427356,-1.4281214015988466
9,1.0986122886681098,0.7324081924454066,-1.5564635375716385
11,1.1989476363991853,1.4459852557162,-1.7899879080968102
13,1.2824746787307684,1.42277791189169,-2.00616834854873
16,1.3862943611198906,0.34657359027997264,-2.308677304579117
17,1.416606672028108,1.374310338523907,-2.3961160866538025
19,1.4722194895832201,1.3510012584851132,-2.5756582591617834
23,1.5677471079645748,1.3075914784276275,-2.9119486366647043
25,1.6094379124341003,0.6437751649736401,-3.0741515550103875
27,1.6479184330021646,0.4228560670650427,-3.228948068188174
29,1.683647914993237,1.2505822757830298,-3.373130743659097
31,1.7169936022425731,1.2335246180352704,-3.517776993206161
32,1.7328679513998633,0.24506453586713678,-3.594070582771284
37,1.8054589563221122,1.1872624961629703,-3.929967787172436
41,1.856786033352154,1.1599250394033147,-4.189376730276135
43,1.8806000578467812,1.147155280756191,-4.315050029467642
47,1.9250738008550292,1.1232034943781537,-4.559247023653734
49,1.9459101490553132,0.555974328301518,-4.681246989297274
53,1.985145956776061,1.0907230725728783,-4.909841837515947
59,2.03876872195286,1.0617003186112357,-5.243900258002652
61,2.0554369320866557,1.052686926732877,-5.352105328484873
64,2.0794415416798357,0.17328679513998632,-5.516558572809684
67,2.102346309695483,1.0273699220001036,-5.667692044473771
71,2.1313399385206577,1.0117740585649326,-5.871369673839064
73,2.1452297205741955,1.004320589980954,-5.971419741266768
79,2.1847239262335107,0.9832025825075689,-6.264628934087776
81,2.1972245773362196,0.24413606414846883,-6.364403889606595
83,2.209420303898299,0.9700615386543743,-6.454723839219373
89,2.24431818486607,0.9515890072071024,-6.732619396399029
97,2.2873554892516914,0.9289830497236152,-7.090817904233044
101,2.30756025842063,0.9184433103116401,-7.2650236189353325
103,2.317364494114818,0.9133468336918864,-7.35098728366616
