a,b,width,active,old_min,collar_min,cross_ratio
0.4375,0.5493061443340549,0.11180614433405489,1,11.171804680417567,0.9194063498921081,0.13837239292657413
0.5493061443340549,0.6931471805599453,0.1438410362258904,2,16.23354421341637,0.641891983952461,0.14871017399525077
0.6931471805599453,0.8047189562170501,0.11157177565710485,3,20.58223092396423,0.8730700990297389,0.10749847155928519
0.8047189562170501,0.9729550745276566,0.16823611831060648,4,25.58369438979568,0.40340160336032355,0.12979002131733577
0.9729550745276566,1.0397207708399179,0.06676569631226126,5,30.43235326961242,1.3648863354758674,0.10038371010316385
1.0397207708399179,1.0986122886681098,0.05889151782819191,6,32.515020523749996,1.4881321788595212,0.07794131295306463
1.0986122886681098,1.1989476363991853,0.10033534773107555,7,33.97573295053378,0.8982313715405652,0.09133049938928826
1.1989476363991853,1.2824746787307684,0.08352704233158303,8,38.961816656961695,1.0800555685795954,0.08887441277602871
1.2824746787307684,1.3862943611198906,0.1038196823891222,9,39.542423457490735,0.8073123756921635,0.11574652914020596
1.3862943611198906,1.416606672028108,0.03031231090821751,10,43.56081062232341,2.1508018563788855,0.09538664190292373
1.416606672028108,1.4722194895832201,0.05561281755511205,11,46.25272350233641,1.4900389209192504,0.078585798963139
1.4722194895832201,1.5677471079645748,0.0955276183813547,12,48.626351691268404,0.8453993597273288,0.0892399537909027
1.5677471079645748,1.6094379124341003,0.041690804469525444,13,48.704888222540774,1.7838650059842296,0.07091800205772446
1.6094379124341003,1.6479184330021646,0.03848052056806428,14,53.150321285224884,1.8658788936917927,0.08494821412310767
1.6479184330021646,1.683647914993237,0.03572948199107251,15,53.3975107501374,1.9418828794904532,0.06720265695898471
1.683647914993237,1.7169936022425731,0.033345687249336065,16,53.03937169497187,2.012686379861588,0.05302375992841255
1.7169936022425731,1.7328679513998633,0.015874349157290135,17,54.38557412282602,2.7964382155958627,0.09292705872751382
1.7328679513998633,1.8054589563221122,0.0725910049222489,18,55.31315484069494,1.0968439758489037,0.09001212067712819
1.8054589563221122,1.856786033352154,0.0513270770300418,19,57.84123488104295,1.4974727373619101,0.09003445035403868
1.856786033352154,1.8806000578467812,0.023814024494627217,20,57.94722121637059,2.3581418121018727,0.08243379770096797
1.8806000578467812,1.9250738008550292,0.04447374300824802,21,60.73395607171352,1.6488064550741668,0.0936547045534284
1.9250738008550292,1.9459101490553132,0.020836348200284016,22,63.535610131626576,2.4950151646244425,0.09400750463569942
1.9459101490553132,1.985145956776061,0.03923580772074775,23,61.861178779122156,1.7811732757123477,0.08032532218976851
