event,a,b,width,mode,old_eigenvalue,collar_min,pole_dual,arch_dual,prime_dual,total_dual,normalized_ratio,cancellation
0,0.4375,0.5493061443340549,0.11180614433405489,0,3.774979835662526e-05,0.016569486072760143,0.673515717105947,0.4634608490560253,0.20815417285351545,0.004574559791046652,0.7445467809007001,0.003400829122673094
0,0.4375,0.5493061443340549,0.11180614433405489,1,0.004648989039950192,0.016569486072760143,0.022806246648870515,0.3194665126326345,0.35774422427741587,0.038460756478881954,0.5640772194793109,0.054942604797023016
0,0.4375,0.5493061443340549,0.11180614433405489,2,0.14718974399526333,0.016569486072760143,0.43492215026512987,0.5630521612549907,0.08837869222979047,0.23887729254068776,0.6226386747950696,0.21988919965805115
1,0.5493061443340549,0.6931471805599453,0.1438410362258904,0,1.448257459258231e-06,0.014001838762788692,0.8558189964632498,0.45673458620280993,0.4002576953799187,0.00017968421286112382,0.14930936019108432,0.00010490601922361958
1,0.5493061443340549,0.6931471805599453,0.1438410362258904,1,2.490622821366546e-05,0.014001838762788692,0.045730660660493125,0.27430809642424875,0.3221020145890346,0.003330009600461736,0.6672544886585644,0.005185793750149015
1,0.5493061443340549,0.6931471805599453,0.1438410362258904,2,0.0016867560449631783,0.014001838762788692,0.6264169943556342,0.509819123659003,0.11289685426297544,0.025725132372898796,0.6263707666293546,0.02059439062439666
2,0.6931471805599453,0.8047189562170501,0.11157177565710485,0,1.0987360365994186e-06,0.015481596311821725,0.8393505829547866,0.38475414257879614,0.45499192959792034,0.00010026265877434818,0.09565166467311227,5.971226163064201e-05
2,0.6931471805599453,0.8047189562170501,0.11157177565710485,1,7.821395869598309e-06,0.015481596311821725,0.0548118978512958,0.19037918492749445,0.24554672306260528,0.0008157487888858185,0.2916851396190435,0.0016622904923478937
2,0.6931471805599453,0.8047189562170501,0.11157177565710485,2,2.647553328780924e-05,0.015481596311821725,0.35658229619578274,0.23001179921082865,0.12767176616027245,0.0004795676252163817,0.09320248644946676,0.0006714133364351966
