event,a,b,width,mode,old_eigenvalue,collar_min,pole_dual,arch_dual,prime_dual,total_dual,normalized_ratio,cancellation,low_sector_ratio
0,0.4375,0.5493061443340549,0.11180614433405489,0,3.398947854993709e-05,0.0032986473239203784,0.7173365563030414,0.495397358163812,0.22181354950433188,0.004772707502534687,0.8186392595505855,0.0033269777559835085,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,1,0.004243547092563412,0.0032986473239203784,0.025004052118511786,0.3594106480457584,0.3886911508877856,0.04748231560740327,0.7288990384711229,0.06141761253363755,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,2,0.13748256062558972,0.0032986473239203784,0.46684656594431423,0.6320692187375387,0.09629012212819338,0.29427666279831155,0.7936554743167356,0.24621419717019594,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,3,0.8941260275573846,0.0032986473239203784,0.00036727461103434227,0.12918609528511157,0.1133821658780718,0.19533206542239218,0.20657329348062203,0.8040489622067155,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,4,0.8943413177901429,0.0032986473239203784,0.002987795487325428,0.08101735464287622,0.32583108372373976,0.2501101393400015,0.2644719702047875,0.6102684894111545,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,5,0.9127326830513236,0.0032986473239203784,0.017940362983391737,0.5741742783694445,0.07242903066747215,0.6353310833036234,0.6650101937582803,0.9560411302572869,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,6,1.3320085014979242,0.0032986473239203784,0.017810007524661626,0.07300267463644791,0.15641164816530678,0.19874065324148116,0.17220002676285528,0.8038879222731801,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,7,1.3594186693846835,0.0032986473239203784,0.004394547739099256,0.09749408761300984,0.34576739698339803,0.4428246249383229,0.3798001644888716,0.9892073220325485,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,8,1.5442955643893668,0.0032986473239203784,0.05421859124186743,0.23158713185179455,0.18130191378950922,0.11230761409168909,0.09037410075694102,0.24043198017714806,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,9,1.647592005551175,0.0032986473239203784,0.002483266424884501,0.10346078580549999,0.18788784351245538,0.26467105110630507,0.20619664949515237,0.9007567079713626,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,10,1.7705701058516263,0.0032986473239203784,0.05270618900583497,0.18622105995993024,0.21203350691600148,0.24991819322565384,0.18781977191619495,0.5541905586373853,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,11,1.8061932445771016,0.0032986473239203784,0.0009794577417685097,0.11783468315389994,0.19019071489187064,0.14053601520683714,0.10456961967518999,0.45480196370591913,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,12,1.984071700428835,0.0032986473239203784,0.0582592730413206,0.18605206760636026,0.1878578374856418,0.2850779029602628,0.20238805378457683,0.6596442258830344,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,13,1.9931959011242433,0.0032986473239203784,0.0003094261967220534,0.06796063704254443,0.212938799592649,0.2052101262214869,0.1453529313953727,0.7297427405200432,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,14,2.0211733005909847,0.0032986473239203784,0.0550123891396493,0.22470713236345496,0.05567678267523758,0.19007991450062237,0.13370093723035179,0.566732286947176,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,15,2.168245883614022,0.0032986473239203784,1.9274608298628904e-05,0.006587254189851495,0.16987874401500827,0.17372620699824476,0.11798072821075904,0.984366594611922,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,16,2.169046641727294,0.0032986473239203784,0.022205762500104777,0.04660752978991675,0.2016456373737397,0.2120494737561722,0.14398019372178378,0.7840357647639714,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,17,2.2680827524931586,0.0032986473239203784,0.0014587149118692878,0.1430413564382277,0.1285785185389604,0.17021682825471965,0.11302461745488002,0.623325425562923,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,18,2.3160746135892567,0.0032986473239203784,0.015290907055799855,0.0431260549219441,0.1708759758675824,0.18181379682661586,0.11946771662592667,0.792932388302607,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,19,2.3677802835117165,0.0032986473239203784,0.0018798327977414834,0.14490778494302903,0.17095666118397004,0.22122253253866558,0.1437668177595823,0.6962282162476428,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,20,2.4076478405155144,0.0032986473239203784,0.009747279810925727,0.06968776885917864,0.1307830646053706,0.13265364115861633,0.08549145197254412,0.631028597353948,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,21,2.484644036171534,0.0032986473239203784,0.0020380445215928285,0.13421840312176947,0.16317781403407244,0.24846136844456865,0.15762561127845331,0.8297693358558393,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,22,2.505064264551493,0.0032986473239203784,0.005229476274068502,0.05595931149027081,0.179141926317246,0.166389592621638,0.10512759340657803,0.6923359473943624,0.9523890137440851
0,0.4375,0.5493061443340549,0.11180614433405489,23,2.533642828307371,0.0032986473239203784,0.001436247261515268,0.11808883134297407,0.08476148910930925,0.15736359592673577,0.09886249697996252,0.7703080906777925,0.9523890137440851
