a,b,width,active,old_min,collar_min,cross_ratio
0.4375,0.5493061443340549,0.11180614433405489,1,15.749876424717344,1.0162314694417403,0.10382421514392509
0.5493061443340549,0.6931471805599453,0.1438410362258904,2,18.931313466125818,0.7412795988120733,0.09209599741149459
0.6931471805599453,0.8047189562170501,0.11157177565710485,3,26.121687481846223,0.9747623398147561,0.0962502561200414
0.8047189562170501,0.9729550745276566,0.16823611831060648,4,28.734600453476684,0.5110325116207814,0.08951564749543274
0.9729550745276566,1.0397207708399179,0.06676569631226126,5,37.366304556992255,1.4687616991172987,0.07031522360698157
1.0397207708399179,1.0986122886681098,0.05889151782819191,6,38.45311541255022,1.5922340513647213,0.06183482127649621
1.0986122886681098,1.1989476363991853,0.10033534773107555,7,40.3125938487201,1.0080900056729971,0.060550455399981405
1.1989476363991853,1.2824746787307684,0.08352704233158303,8,44.88019344391445,1.1900685177306363,0.07037212954299331
1.2824746787307684,1.3862943611198906,0.1038196823891222,9,47.449895892741154,0.92291886854499,0.07244952126216063
1.3862943611198906,1.416606672028108,0.03031231090821751,10,52.764102389574376,2.255057597951656,0.08811570226421901
1.416606672028108,1.4722194895832201,0.05561281755511205,11,52.97298959011483,1.5997263031047821,0.06191397682186707
1.4722194895832201,1.5677471079645748,0.0955276183813547,12,56.63074148280243,0.9655886823960262,0.07424510867942904
1.5677471079645748,1.6094379124341003,0.041690804469525444,13,59.59430794647822,1.8929783075362532,0.07497228166465147
1.6094379124341003,1.6479184330021646,0.03848052056806428,14,59.87809917606941,1.9748007304679123,0.06767122822542497
1.6479184330021646,1.683647914993237,0.03572948199107251,15,62.4215334574453,2.0506220665563806,0.07866752352001433
1.683647914993237,1.7169936022425731,0.033345687249336065,16,64.84983019045302,2.1212476642832727,0.0758348077139552
1.7169936022425731,1.7328679513998633,0.015874349157290135,17,62.82700409136967,2.896742659990684,0.06979147300491177
1.7328679513998633,1.8054589563221122,0.0725910049222489,18,64.36849288012536,1.2193837999382742,0.08227237429185152
1.8054589563221122,1.856786033352154,0.0513270770300418,19,66.75065348742304,1.614526415508139,0.07661402428495653
1.856786033352154,1.8806000578467812,0.023814024494627217,20,70.88649293628195,2.465977264139358,0.09321578968658277
1.8806000578467812,1.9250738008550292,0.04447374300824802,21,71.27976002041633,1.7650472741538399,0.078014209444021
1.9250738008550292,1.9459101490553132,0.020836348200284016,22,73.33756374502518,2.601959701378687,0.10711602115885625
1.9459101490553132,1.985145956776061,0.03923580772074775,23,74.26190342643437,1.8966981483964664,0.087206636442657
1.985145956776061,2.03876872195286,0.05362276517679887,24,76.3980220975568,1.5162941952113334,0.06937984103818438
2.03876872195286,2.0554369320866557,0.016668210133795824,25,79.98373009889524,2.8272053689790737,0.10665759187577192
2.0554369320866557,2.0794415416798357,0.02400460959318007,26,79.01002542727078,2.433117222367907,0.07741349799137391
2.0794415416798357,2.102346309695483,0.022904768015647115,27,75.83229087124674,2.481603823876646,0.05759156772648781
2.102346309695483,2.1313399385206577,0.028993628825174866,28,80.74780476314339,2.214360255625522,0.09521341124413789
2.1313399385206577,2.1452297205741955,0.013889782053537747,29,82.73895773947213,2.9586967535950115,0.09192278101554474
2.1452297205741955,2.1847239262335107,0.039494205659315273,30,81.30620348014249,1.8449260910827205,0.0984119789256832
2.1847239262335107,2.1972245773362196,0.012500651102708815,31,82.2374014562904,2.1182452972396475,0.08884019647699684
2.1972245773362196,2.209420303898299,0.012195726562079567,32,84.10089986306704,1.9776229285679785,0.08807839078897944
