a,b,width,active,old_min,collar_min,cross_ratio
0.4375,0.5493061443340549,0.11180614433405489,1,11.843211340085242,1.0162314690950327,0.11376879990146944
0.5493061443340549,0.6931471805599453,0.1438410362258904,2,17.1886140163561,0.7412795987740081,0.09518315952156155
0.6931471805599453,0.8047189562170501,0.11157177565710485,3,22.118366418947854,0.9747623394737314,0.10500257662338866
0.8047189562170501,0.9729550745276566,0.16823611831060648,4,24.928872920039097,0.5110325116120359,0.09507015513027584
0.9729550745276566,1.0397207708399179,0.06676569631226126,5,31.876211572902495,1.4687616699937411,0.07502229184905568
1.0397207708399179,1.0986122886681098,0.05889151782819191,6,33.641736589290545,1.592233939479938,0.06694612486903492
1.0986122886681098,1.1989476363991853,0.10033534773107555,7,34.61422133579015,1.0080900046259895,0.06532421960404146
1.1989476363991853,1.2824746787307684,0.08352704233158303,8,38.658470611925445,1.1900685130887887,0.0759441233254511
1.2824746787307684,1.3862943611198906,0.1038196823891222,9,41.35232631093099,0.9229188679089518,0.07820752385688774
1.3862943611198906,1.416606672028108,0.03031231090821751,10,45.20574928911493,2.254981830978522,0.09488527715284004
1.416606672028108,1.4722194895832201,0.05561281755511205,11,45.41482188098502,1.5997260866820096,0.06674862859905246
1.4722194895832201,1.5677471079645748,0.0955276183813547,12,48.53111951497362,0.9655886808231741,0.07968124156824134
1.5677471079645748,1.6094379124341003,0.041690804469525444,13,51.779831577958014,1.8929756398837203,0.08141982249967607
1.6094379124341003,1.6479184330021646,0.03848052056806428,14,50.28696541230305,1.974794891271035,0.07297707626246398
1.6479184330021646,1.683647914993237,0.03572948199107251,15,54.80104843601473,2.050609346472827,0.08451311672133555
1.683647914993237,1.7169936022425731,0.033345687249336065,16,54.3147954950989,2.121237184251502,0.08113703764592321
1.7169936022425731,1.7328679513998633,0.015874349157290135,17,53.43247485724807,2.8596851461684367,0.0734608367795994
1.7328679513998633,1.8054589563221122,0.0725910049222489,18,55.76313036698256,1.219383785853798,0.0909419206764373
1.8054589563221122,1.856786033352154,0.0513270770300418,19,56.92280777776712,1.6145259722782257,0.0822454310650868
1.856786033352154,1.8806000578467812,0.023814024494627217,20,59.71720467156735,2.4651856293515313,0.10038231910995671
1.8806000578467812,1.9250738008550292,0.04447374300824802,21,61.750264312995526,1.7650455326665946,0.0840321051353068
1.9250738008550292,1.9459101490553132,0.020836348200284016,22,62.78039703029254,2.6016260632676254,0.11220236856759563
1.9459101490553132,1.985145956776061,0.03923580772074775,23,63.97536366447324,1.896694470792053,0.094895464590865
