L,m,dps_assembly,dps_solve,lam_min,assembly_s,solve_s,total_s,finished_utc,tag
5.5,208,100,90,4.21478011593e-71,2804.7,112.6,2917.2,2026-07-26T23:27:11Z,r2-authorized-4w
5.5,224,100,90,1.37130046904e-72,3091.3,140.1,3231.4,2026-07-27T02:41:46Z,r2-ratchet-4w
