u,x,lnF
2.1000000000,-0.1500000000,-26.2412466383
2.1010006254,-0.1489993746,-26.2583622288
2.1020012508,-0.1479987492,-26.2781746792
2.1030018762,-0.1469981238,-26.3006910301
2.1040025016,-0.1459974984,-26.3259317957
2.1050031270,-0.1449968730,-26.3539314358
2.1060037523,-0.1439962477,-26.3847391289
2.1070043777,-0.1429956223,-26.4184198809
2.1080050031,-0.1419949969,-26.4550560232
2.1090056285,-0.1409943715,-26.4947491743
2.1100062539,-0.1399937461,-26.5376227665
2.1110068793,-0.1389931207,-26.5838252792
2.1120075047,-0.1379924953,-26.6335343688
2.1130081301,-0.1369918699,-26.6869621595
2.1140087555,-0.1359912445,-26.7443620628
2.1150093809,-0.1349906191,-26.8060376430
2.1160100063,-0.1339899937,-26.8723542708
2.1170106316,-0.1329893684,-26.9437546495
2.1180112570,-0.1319887430,-27.0207798280
2.1190118824,-0.1309881176,-27.1040981690
2.1200125078,-0.1299874922,-27.1945461462
2.1210131332,-0.1289868668,-27.2931872470
2.1220137586,-0.1279862414,-27.4013995308
2.1230143840,-0.1269856160,-27.5210103520
2.1240150094,-0.1259849906,-27.6545124069
2.1250156348,-0.1249843652,-27.8054281611
2.1260162602,-0.1239837398,-27.9789646440
2.1270168856,-0.1229831144,-28.1832897655
2.1280175109,-0.1219824891,-28.4323077121
2.1290181363,-0.1209818637,-28.7527154462
2.1300187617,-0.1199812383,-29.2069759301
2.1310193871,-0.1189806129,-30.0146564526
2.1320200125,-0.1179799875,-31.6559049596
2.1330206379,-0.1169793621,-29.7244751207
2.1340212633,-0.1159787367,-29.1279200659
2.1350218887,-0.1149781113,-28.7722457200
2.1360225141,-0.1139774859,-28.5226918184
2.1370231395,-0.1129768605,-28.3334743426
2.1380237649,-0.1119762351,-28.1834316337
2.1390243902,-0.1109756098,-28.0610273647
2.1400250156,-0.1099749844,-27.9592764115
2.1410256410,-0.1089743590,-27.8736284674
2.1420262664,-0.1079737336,-27.8009549336
2.1430268918,-0.1069731082,-27.7390136475
2.1440275172,-0.1059724828,-27.6861441768
2.1450281426,-0.1049718574,-27.6410839106
2.1460287680,-0.1039712320,-27.6028516920
2.1470293934,-0.1029706066,-27.5706712644
2.1480300188,-0.1019699812,-27.5439192415
2.1490306442,-0.1009693558,-27.5220887514
2.1500312695,-0.0999687305,-27.5047634225
2.1510318949,-0.0989681051,-27.4915983869
2.1520325203,-0.0979674797,-27.4823061576
2.1530331457,-0.0969668543,-27.4766459717
2.1540337711,-0.0959662289,-27.4744156408
2.1550343965,-0.0949656035,-27.4754452527
2.1560350219,-0.0939649781,-27.4795922617
2.1570356473,-0.0929643527,-27.4867376370
2.1580362727,-0.0919637273,-27.4967828321
2.1590368981,-0.0909631019,-27.5096474009
2.1600375235,-0.0899624765,-27.5252671327
2.1610381488,-0.0889618512,-27.5435926121
2.1620387742,-0.0879612258,-27.5645881353
2.1630393996,-0.0869606004,-27.5882309317
2.1640400250,-0.0859599750,-27.6145106583
2.1650406504,-0.0849593496,-27.6434291431
2.1660412758,-0.0839587242,-27.6750003676
2.1670419012,-0.0829580988,-27.7092506875
2.1680425266,-0.0819574734,-27.7462192995
2.1690431520,-0.0809568480,-27.7859589762
2.1700437774,-0.0799562226,-27.8285370985
2.1710444028,-0.0789555972,-27.8740370347
2.1720450281,-0.0779549719,-27.9225599297
2.1730456535,-0.0769543465,-27.9742269932
2.1740462789,-0.0759537211,-28.0291824092
2.1750469043,-0.0749530957,-28.0875970285
2.1760475297,-0.0739524703,-28.1496730708
2.1770481551,-0.0729518449,-28.2156501453
2.1780487805,-0.0719512195,-28.2858130228
2.1790494059,-0.0709505941,-28.3605017766
2.1800500313,-0.0699499687,-28.4401251797
2.1810506567,-0.0689493433,-28.5251786701
2.1820512821,-0.0679487179,-28.6162688600
2.1830519074,-0.0669480926,-28.7141476456
2.1840525328,-0.0659474672,-28.8197607876
2.1850531582,-0.0649468418,-28.9343189880
2.1860537836,-0.0639462164,-29.0594052222
2.1870544090,-0.0629455910,-29.1971430331
2.1880550344,-0.0619449656,-29.3504726967
2.1890556598,-0.0609443402,-29.5236305608
2.1900562852,-0.0599437148,-29.7230423472
2.1910569106,-0.0589430894,-29.9591507728
2.1920575360,-0.0579424640,-30.2506685787
2.1930581614,-0.0569418386,-30.6365686751
2.1940587867,-0.0559412133,-31.2230217153
2.1950594121,-0.0549405879,-32.6024869354
2.1960600375,-0.0539399625,-32.0279585686
2.1970606629,-0.0529393371,-31.1308538167
2.1980612883,-0.0519387117,-30.6942534950
