u,x,lnF
2.1000000000,-0.1500000000,-26.2394774862
2.1010006254,-0.1489993746,-26.2565891378
2.1020012508,-0.1479987492,-26.2763976396
2.1030018762,-0.1469981238,-26.2989100324
2.1040025016,-0.1459974984,-26.3241468301
2.1050031270,-0.1449968730,-26.3521424928
2.1060037523,-0.1439962477,-26.3829461988
2.1070043777,-0.1429956223,-26.4166229540
2.1080050031,-0.1419949969,-26.4532550899
2.1090056285,-0.1409943715,-26.4929442246
2.1100062539,-0.1399937461,-26.5358137908
2.1110068793,-0.1389931207,-26.5820122677
2.1120075047,-0.1379924953,-26.6317173115
2.1130081301,-0.1369918699,-26.6851410467
2.1140087555,-0.1359912445,-26.7425368845
2.1150093809,-0.1349906191,-26.8042083893
2.1160100063,-0.1339899937,-26.8705209318
2.1170106316,-0.1329893684,-26.9419172152
2.1180112570,-0.1319887430,-27.0189382883
2.1190118824,-0.1309881176,-27.1022525140
2.1200125078,-0.1299874922,-27.1926963658
2.1210131332,-0.1289868668,-27.2913333311
2.1220137586,-0.1279862414,-27.3995414693
2.1230143840,-0.1269856160,-27.5191481347
2.1240150094,-0.1259849906,-27.6526460237
2.1250156348,-0.1249843652,-27.8035576017
2.1260162602,-0.1239837398,-27.9770898983
2.1270168856,-0.1229831144,-28.1814108231
2.1280175109,-0.1219824891,-28.4304245627
2.1290181363,-0.1209818637,-28.7508280796
2.1300187617,-0.1199812383,-29.2050843359
2.1310193871,-0.1189806129,-30.0127606204
2.1320200125,-0.1179799875,-31.6540048789
2.1330206379,-0.1169793621,-29.7225707813
2.1340212633,-0.1159787367,-29.1260114571
2.1350218887,-0.1149781113,-28.7703328314
2.1360225141,-0.1139774859,-28.5207746395
2.1370231395,-0.1129768605,-28.3315528628
2.1380237649,-0.1119762351,-28.1815058424
2.1390243902,-0.1109756098,-28.0590972513
2.1400250156,-0.1099749844,-27.9573419653
2.1410256410,-0.1089743590,-27.8716896778
2.1420262664,-0.1079737336,-27.7990117899
2.1430268918,-0.1069731082,-27.7370661389
2.1440275172,-0.1059724828,-27.6841922925
2.1450281426,-0.1049718574,-27.6391276399
2.1460287680,-0.1039712320,-27.6008910240
2.1470293934,-0.1029706066,-27.5687061882
2.1480300188,-0.1019699812,-27.5419497463
2.1490306442,-0.1009693558,-27.5201148261
2.1500312695,-0.0999687305,-27.5027850564
2.1510318949,-0.0989681051,-27.4896155688
2.1520325203,-0.0979674797,-27.4803188766
2.1530331457,-0.0969668543,-27.4746542167
2.1540337711,-0.0959662289,-27.4724194006
2.1550343965,-0.0949656035,-27.4734445163
2.1560350219,-0.0939649781,-27.4775870180
2.1570356473,-0.0929643527,-27.4847278747
2.1580362727,-0.0919637273,-27.4947685400
2.1590368981,-0.0909631019,-27.5076285678
2.1600375235,-0.0899624765,-27.5232437474
2.1610381488,-0.0889618512,-27.5415646632
2.1620387742,-0.0879612258,-27.5625556115
2.1630393996,-0.0869606004,-27.5861938216
2.1640400250,-0.0859599750,-27.6124689504
2.1650406504,-0.0849593496,-27.6413828260
2.1660412758,-0.0839587242,-27.6729494299
2.1670419012,-0.0829580988,-27.7071951176
2.1680425266,-0.0819574734,-27.7441590860
2.1690431520,-0.0809568480,-27.7838941074
2.1700437774,-0.0799562226,-27.8264675628
2.1710444028,-0.0789555972,-27.8719628205
2.1720450281,-0.0779549719,-27.9204810252
2.1730456535,-0.0769543465,-27.9721433869
2.1740462789,-0.0759537211,-28.0270940891
2.1750469043,-0.0749530957,-28.0855039830
2.1760475297,-0.0739524703,-28.1475752881
2.1770481551,-0.0729518449,-28.2135476134
2.1780487805,-0.0719512195,-28.2837057299
2.1790494059,-0.0709505941,-28.3583897108
2.1800500313,-0.0699499687,-28.4380083291
2.1810506567,-0.0689493433,-28.5230570227
2.1820512821,-0.0679487179,-28.6141424037
2.1830519074,-0.0669480926,-28.7120163683
2.1840525328,-0.0659474672,-28.8176246773
2.1850531582,-0.0649468418,-28.9321780326
2.1860537836,-0.0639462164,-29.0572594094
2.1870544090,-0.0629455910,-29.1949923508
2.1880550344,-0.0619449656,-29.3483171326
2.1890556598,-0.0609443402,-29.5214701027
2.1900562852,-0.0599437148,-29.7208769827
2.1910569106,-0.0589430894,-29.9569804897
2.1920575360,-0.0579424640,-30.2484933645
2.1930581614,-0.0569418386,-30.6343885174
2.1940587867,-0.0559412133,-31.2208366017
2.1950594121,-0.0549405879,-32.6002968534
2.1960600375,-0.0539399625,-32.0257635056
2.1970606629,-0.0529393371,-31.1286537601
2.1980612883,-0.0519387117,-30.6920484323
2.1990619137,-0.0509380863,-30.4105783623
2.2000625391,-0.0499374609,-30.2085011839
2.2010631645,-0.0489368355,-30.0551114812
2.2020637899,-0.0479362101,-29.9348870000
2.2030644153,-0.0469355847,-29.8388882601
2.2040650407,-0.0459349593,-29.7614995647
2.2050656660,-0.0449343340,-29.6989671401
2.2060662914,-0.0439337086,-29.6486625569
2.2070669168,-0.0429330832,-29.6086784166
2.2080675422,-0.0419324578,-29.5775913059
2.2090681676,-0.0409318324,-29.5543153567
2.2100687930,-0.0399312070,-29.5380078600
2.2110694184,-0.0389305816,-29.5280062712
2.2120700438,-0.0379299562,-29.5237849354
2.2130706692,-0.0369293308,-29.5249246441
2.2140712946,-0.0359287054,-29.5310908047
2.2150719199,-0.0349280801,-29.5420175586
2.2160725453,-0.0339274547,-29.5574961156
2.2170731707,-0.0329268293,-29.5773661614
2.2180737961,-0.0319262039,-29.6015095659
2.2190744215,-0.0309255785,-29.6298458709
2.2200750469,-0.0299249531,-29.6623292067
