u,x,lnF
1.6275000000,-0.1500000000,-14.8617002850
1.6285006254,-0.1489993746,-14.8921316412
1.6295012508,-0.1479987492,-14.9243431326
1.6305018762,-0.1469981238,-14.9584157522
1.6315025016,-0.1459974984,-14.9944424289
1.6325031270,-0.1449968730,-15.0325297714
1.6335037523,-0.1439962477,-15.0728001994
1.6345043777,-0.1429956223,-15.1153945632
1.6355050031,-0.1419949969,-15.1604753841
1.6365056285,-0.1409943715,-15.2082308952
1.6375062539,-0.1399937461,-15.2588801272
1.6385068793,-0.1389931207,-15.3126793713
1.6395075047,-0.1379924953,-15.3699304909
1.6405081301,-0.1369918699,-15.4309917452
1.6415087555,-0.1359912445,-15.4962920908
1.6425093809,-0.1349906191,-15.5663503878
1.6435100063,-0.1339899937,-15.6418016724
1.6445106316,-0.1329893684,-15.7234338578
1.6455112570,-0.1319887430,-15.8122402573
1.6465118824,-0.1309881176,-15.9094968819
1.6475125078,-0.1299874922,-16.0168800076
1.6485131332,-0.1289868668,-16.1366521315
1.6495137586,-0.1279862414,-16.2719704100
1.6505143840,-0.1269856160,-16.4274292699
1.6515150094,-0.1259849906,-16.6100893714
1.6525156348,-0.1249843652,-16.8316327165
1.6535162602,-0.1239837398,-17.1135491385
1.6545168856,-0.1229831144,-17.5025586744
1.6555175109,-0.1219824891,-18.1376027457
1.6565181363,-0.1209818637,-20.2258454685
1.6575187617,-0.1199812383,-18.4380992075
1.6585193871,-0.1189806129,-17.6723812928
1.6595200125,-0.1179799875,-17.2492274837
1.6605206379,-0.1169793621,-16.9570287635
1.6615212633,-0.1159787367,-16.7347070427
1.6625218887,-0.1149781113,-16.5559982503
1.6635225141,-0.1139774859,-16.4071737795
1.6645231395,-0.1129768605,-16.2801474096
1.6655237649,-0.1119762351,-16.1697524623
1.6665243902,-0.1109756098,-16.0724859852
1.6675250156,-0.1099749844,-15.9858630886
1.6685256410,-0.1089743590,-15.9080569955
1.6695262664,-0.1079737336,-15.8376853476
1.6705268918,-0.1069731082,-15.7736767841
1.6715275172,-0.1059724828,-15.7151841233
1.6725281426,-0.1049718574,-15.6615258813
1.6735287680,-0.1039712320,-15.6121457075
1.6745293934,-0.1029706066,-15.5665835268
1.6755300188,-0.1019699812,-15.5244545554
1.6765306442,-0.1009693558,-15.4854337449
1.6775312695,-0.0999687305,-15.4492440522
1.6785318949,-0.0989681051,-15.4156474588
1.6795325203,-0.0979674797,-15.3844380007
1.6805331457,-0.0969668543,-15.3554362920
1.6815337711,-0.0959662289,-15.3284851739
1.6825343965,-0.0949656035,-15.3034462219
1.6835350219,-0.0939649781,-15.2801969169
1.6845356473,-0.0929643527,-15.2586283329
1.6855362727,-0.0919637273,-15.2386432343
1.6865368981,-0.0909631019,-15.2201544961
1.6875375235,-0.0899624765,-15.2030837855
1.6885381488,-0.0889618512,-15.1873604544
1.6895387742,-0.0879612258,-15.1729206023
1.6905393996,-0.0869606004,-15.1597062813
1.6915400250,-0.0859599750,-15.1476648163
1.6925406504,-0.0849593496,-15.1367482220
1.6935412758,-0.0839587242,-15.1269127008
1.6945419012,-0.0829580988,-15.1181182076
1.6955425266,-0.0819574734,-15.1103280728
1.6965431520,-0.0809568480,-15.1035086727
1.6975437774,-0.0799562226,-15.0976291419
1.6985444028,-0.0789555972,-15.0926611208
1.6995450281,-0.0779549719,-15.0885785333
1.7005456535,-0.0769543465,-15.0853573910
1.7015462789,-0.0759537211,-15.0829756202
1.7025469043,-0.0749530957,-15.0814129079
1.7035475297,-0.0739524703,-15.0806505663
1.7045481551,-0.0729518449,-15.0806714111
1.7055487805,-0.0719512195,-15.0814596543
1.7065494059,-0.0709505941,-15.0830008075
1.7075500313,-0.0699499687,-15.0852815969
1.7085506567,-0.0689493433,-15.0882898867
1.7095512821,-0.0679487179,-15.0920146107
1.7105519074,-0.0669480926,-15.0964457122
1.7115525328,-0.0659474672,-15.1015740895
1.7125531582,-0.0649468418,-15.1073915483
1.7135537836,-0.0639462164,-15.1138907588
1.7145544090,-0.0629455910,-15.1210652188
1.7155550344,-0.0619449656,-15.1289092202
1.7165556598,-0.0609443402,-15.1374178211
1.7175562852,-0.0599437148,-15.1465868207
1.7185569106,-0.0589430894,-15.1564127385
1.7195575360,-0.0579424640,-15.1668927970
1.7205581614,-0.0569418386,-15.1780249073
1.7215587867,-0.0559412133,-15.1898076584
1.7225594121,-0.0549405879,-15.2022403096
1.7235600375,-0.0539399625,-15.2153227848
1.7245606629,-0.0529393371,-15.2290556718
1.7255612883,-0.0519387117,-15.2434402221
1.7265619137,-0.0509380863,-15.2584783558
