u,x,lnF
1.0925000000,-0.1500000000,-5.9459860669
1.0935006254,-0.1489993746,-5.9584992197
1.0945012508,-0.1479987492,-5.9711300078
1.0955018762,-0.1469981238,-5.9838798462
1.0965025016,-0.1459974984,-5.9967501886
1.0975031270,-0.1449968730,-6.0097425285
1.0985037523,-0.1439962477,-6.0228584011
1.0995043777,-0.1429956223,-6.0360993843
1.1005050031,-0.1419949969,-6.0494671005
1.1015056285,-0.1409943715,-6.0629632180
1.1025062539,-0.1399937461,-6.0765894529
1.1035068793,-0.1389931207,-6.0903475706
1.1045075047,-0.1379924953,-6.1042393877
1.1055081301,-0.1369918699,-6.1182667740
1.1065087555,-0.1359912445,-6.1324316544
1.1075093809,-0.1349906191,-6.1467360112
1.1085100063,-0.1339899937,-6.1611818861
1.1095106316,-0.1329893684,-6.1757713827
1.1105112570,-0.1319887430,-6.1905066688
1.1115118824,-0.1309881176,-6.2053899793
1.1125125078,-0.1299874922,-6.2204236184
1.1135131332,-0.1289868668,-6.2356099629
1.1145137586,-0.1279862414,-6.2509514651
1.1155143840,-0.1269856160,-6.2664506557
1.1165150094,-0.1259849906,-6.2821101478
1.1175156348,-0.1249843652,-6.2979326396
1.1185162602,-0.1239837398,-6.3139209188
1.1195168856,-0.1229831144,-6.3300778662
1.1205175109,-0.1219824891,-6.3464064600
1.1215181363,-0.1209818637,-6.3629097802
1.1225187617,-0.1199812383,-6.3795910130
1.1235193871,-0.1189806129,-6.3964534562
1.1245200125,-0.1179799875,-6.4135005241
1.1255206379,-0.1169793621,-6.4307357531
1.1265212633,-0.1159787367,-6.4481628078
1.1275218887,-0.1149781113,-6.4657854869
1.1285225141,-0.1139774859,-6.4836077302
1.1295231395,-0.1129768605,-6.5016336253
1.1305237649,-0.1119762351,-6.5198674154
1.1315243902,-0.1109756098,-6.5383135073
1.1325250156,-0.1099749844,-6.5569764799
1.1335256410,-0.1089743590,-6.5758610932
1.1345262664,-0.1079737336,-6.5949722981
1.1355268918,-0.1069731082,-6.6143152470
1.1365275172,-0.1059724828,-6.6338953045
1.1375281426,-0.1049718574,-6.6537180597
1.1385287680,-0.1039712320,-6.6737893390
1.1395293934,-0.1029706066,-6.6941152194
1.1405300188,-0.1019699812,-6.7147020435
1.1415306442,-0.1009693558,-6.7355564353
1.1425312695,-0.0999687305,-6.7566853172
1.1435318949,-0.0989681051,-6.7780959282
1.1445325203,-0.0979674797,-6.7997958438
1.1455331457,-0.0969668543,-6.8217929975
1.1465337711,-0.0959662289,-6.8440957036
1.1475343965,-0.0949656035,-6.8667126822
1.1485350219,-0.0939649781,-6.8896530864
1.1495356473,-0.0929643527,-6.9129265318
1.1505362727,-0.0919637273,-6.9365431281
1.1515368981,-0.0909631019,-6.9605135142
1.1525375235,-0.0899624765,-6.9848488957
1.1535381488,-0.0889618512,-7.0095610866
1.1545387742,-0.0879612258,-7.0346625543
1.1555393996,-0.0869606004,-7.0601664691
1.1565400250,-0.0859599750,-7.0860867584
1.1575406504,-0.0849593496,-7.1124381666
1.1585412758,-0.0839587242,-7.1392363202
1.1595419012,-0.0829580988,-7.1664978009
1.1605425266,-0.0819574734,-7.1942402250
1.1615431520,-0.0809568480,-7.2224823322
1.1625437774,-0.0799562226,-7.2512440838
1.1635444028,-0.0789555972,-7.2805467719
1.1645450281,-0.0779549719,-7.3104131415
1.1655456535,-0.0769543465,-7.3408675261
1.1665462789,-0.0759537211,-7.3719360004
1.1675469043,-0.0749530957,-7.4036465517
1.1685475297,-0.0739524703,-7.4360292719
1.1695481551,-0.0729518449,-7.4691165762
1.1705487805,-0.0719512195,-7.5029434490
1.1715494059,-0.0709505941,-7.5375477248
1.1725500313,-0.0699499687,-7.5729704074
1.1735506567,-0.0689493433,-7.6092560363
1.1745512821,-0.0679487179,-7.6464531066
1.1755519074,-0.0669480926,-7.6846145537
1.1765525328,-0.0659474672,-7.7237983152
1.1775531582,-0.0649468418,-7.7640679834
1.1785537836,-0.0639462164,-7.8054935690
1.1795544090,-0.0629455910,-7.8481523974
1.1805550344,-0.0619449656,-7.8921301687
1.1815556598,-0.0609443402,-7.9375222147
1.1825562852,-0.0599437148,-7.9844350037
1.1835569106,-0.0589430894,-8.0329879489
1.1845575360,-0.0579424640,-8.0833156018
1.1855581614,-0.0569418386,-8.1355703286
1.1865587867,-0.0559412133,-8.1899256083
1.1875594121,-0.0549405879,-8.2465801286
1.1885600375,-0.0539399625,-8.3057629289
1.1895606629,-0.0529393371,-8.3677399236
1.1905612883,-0.0519387117,-8.4328222799
1.1915619137,-0.0509380863,-8.5013773179
1.1925625391,-0.0499374609,-8.5738429056
1.1935631645,-0.0489368355,-8.6507467838
1.1945637899,-0.0479362101,-8.7327329989
1.1955644153,-0.0469355847,-8.8205988308
1.1965650407,-0.0459349593,-8.9153476502
1.1975656660,-0.0449343340,-9.0182667385
1.1985662914,-0.0439337086,-9.1310457042
1.1995669168,-0.0429330832,-9.2559639028
1.2005675422,-0.0419324578,-9.3962015551
1.2015681676,-0.0409318324,-9.5563876442
1.2025687930,-0.0399312070,-9.7436403258
1.2035694184,-0.0389305816,-9.9697500768
1.2045700438,-0.0379299562,-10.2564478785
1.2055706692,-0.0369293308,-10.6511388992
1.2065712946,-0.0359287054,-11.2958515165
1.2075719199,-0.0349280801,-13.4927118374
1.2085725453,-0.0339274547,-11.5687522248
1.2095731707,-0.0329268293,-10.8152639548
1.2105737961,-0.0319262039,-10.3971211844
1.2115744215,-0.0309255785,-10.1081268892
1.2125750469,-0.0299249531,-9.8881679037
1.2135756723,-0.0289243277,-9.7112887544
1.2145762977,-0.0279237023,-9.5638909918
1.2155769231,-0.0269230769,-9.4379534593
1.2165775485,-0.0259224515,-9.3283460880
1.2175781739,-0.0249218261,-9.2315884399
1.2185787992,-0.0239212008,-9.1452104757
1.2195794246,-0.0229205754,-9.0673957859
1.2205800500,-0.0219199500,-8.9967695962
1.2215806754,-0.0209193246,-8.9322663112
1.2225813008,-0.0199186992,-8.8730432722
1.2235819262,-0.0189180738,-8.8184226359
1.2245825516,-0.0179174484,-8.7678510414
1.2255831770,-0.0169168230,-8.7208709079
1.2265838024,-0.0159161976,-8.6770995563
1.2275844278,-0.0149155722,-8.6362137275
1.2285850532,-0.0139149468,-8.5979379063
1.2295856785,-0.0129143215,-8.5620353790
1.2305863039,-0.0119136961,-8.5283012931
1.2315869293,-0.0109130707,-8.4965572017
1.2325875547,-0.0099124453,-8.4666467300
1.2335881801,-0.0089118199,-8.4384320948
1.2345888055,-0.0079111945,-8.4117912856
1.2355894309,-0.0069105691,-8.3866157607
1.2365900563,-0.0059099437,-8.3628085494
1.2375906817,-0.0049093183,-8.3402826780
1.2385913071,-0.0039086929,-8.3189598548
1.2395919325,-0.0029080675,-8.2987693646
1.2405925578,-0.0019074422,-8.2796471350
1.2415931832,-0.0009068168,-8.2615349418
1.2425938086,0.0000938086,-8.2443797306
1.2435944340,0.0010944340,-8.2281330341
1.2445950594,0.0020950594,-8.2127504703
1.2455956848,0.0030956848,-8.1981913068
1.2465963102,0.0040963102,-8.1844180828
1.2475969356,0.0050969356,-8.1713962795
1.2485975610,0.0060975610,-8.1590940301
1.2495981864,0.0070981864,-8.1474818666
1.2505988118,0.0080988118,-8.1365324949
1.2515994371,0.0090994371,-8.1262205974
1.2526000625,0.0101000625,-8.1165226572
1.2536006879,0.0111006879,-8.1074168015
1.2546013133,0.0121013133,-8.0988826628
1.2556019387,0.0131019387,-8.0909012541
1.2566025641,0.0141025641,-8.0834548575
1.2576031895,0.0151031895,-8.0765269243
1.2586038149,0.0161038149,-8.0701019844
1.2596044403,0.0171044403,-8.0641655657
1.2606050657,0.0181050657,-8.0587041205
1.2616056911,0.0191056911,-8.0537049591
1.2626063164,0.0201063164,-8.0491561897
1.2636069418,0.0211069418,-8.0450466641
1.2646075672,0.0221075672,-8.0413659278
1.2656081926,0.0231081926,-8.0381041748
1.2666088180,0.0241088180,-8.0352522069
1.2676094434,0.0251094434,-8.0328013955
1.2686100688,0.0261100688,-8.0307436480
1.2696106942,0.0271106942,-8.0290713759
1.2706113196,0.0281113196,-8.0277774665
1.2716119450,0.0291119450,-8.0268552565
1.2726125704,0.0301125704,-8.0262985078
1.2736131957,0.0311131957,-8.0261013858
1.2746138211,0.0321138211,-8.0262584389
1.2756144465,0.0331144465,-8.0267645802
1.2766150719,0.0341150719,-8.0276150705
1.2776156973,0.0351156973,-8.0288055027
1.2786163227,0.0361163227,-8.0303317875
1.2796169481,0.0371169481,-8.0321901408
1.2806175735,0.0381175735,-8.0343770713
1.2816181989,0.0391181989,-8.0368893701
1.2826188243,0.0401188243,-8.0397241005
1.2836194497,0.0411194497,-8.0428785895
1.2846200750,0.0421200750,-8.0463504195
1.2856207004,0.0431207004,-8.0501374210
1.2866213258,0.0441213258,-8.0542376661
1.2876219512,0.0451219512,-8.0586494632
1.2886225766,0.0461225766,-8.0633713511
1.2896232020,0.0471232020,-8.0684020956
1.2906238274,0.0481238274,-8.0737406849
1.2916244528,0.0491244528,-8.0793863270
1.2926250782,0.0501250782,-8.0853384470
1.2936257036,0.0511257036,-8.0915966850
1.2946263290,0.0521263290,-8.0981608951
1.2956269543,0.0531269543,-8.1050311440
1.2966275797,0.0541275797,-8.1122077116
1.2976282051,0.0551282051,-8.1196910904
1.2986288305,0.0561288305,-8.1274819871
1.2996294559,0.0571294559,-8.1355813237
1.3006300813,0.0581300813,-8.1439902396
1.3016307067,0.0591307067,-8.1527100940
1.3026313321,0.0601313321,-8.1617424697
1.3036319575,0.0611319575,-8.1710891762
1.3046325829,0.0621325829,-8.1807522546
1.3056332083,0.0631332083,-8.1907339828
1.3066338336,0.0641338336,-8.2010368810
1.3076344590,0.0651344590,-8.2116637186
1.3086350844,0.0661350844,-8.2226175211
1.3096357098,0.0671357098,-8.2339015790
1.3106363352,0.0681363352,-8.2455194559
1.3116369606,0.0691369606,-8.2574749993
1.3126375860,0.0701375860,-8.2697723508
1.3136382114,0.0711382114,-8.2824159586
1.3146388368,0.0721388368,-8.2954105903
1.3156394622,0.0731394622,-8.3087613475
1.3166400876,0.0741400876,-8.3224736813
1.3176407129,0.0751407129,-8.3365534093
1.3186413383,0.0761413383,-8.3510067345
1.3196419637,0.0771419637,-8.3658402656
1.3206425891,0.0781425891,-8.3810610391
1.3216432145,0.0791432145,-8.3966765436
1.3226438399,0.0801438399,-8.4126947461
1.3236444653,0.0811444653,-8.4291241213
1.3246450907,0.0821450907,-8.4459736827
1.3256457161,0.0831457161,-8.4632530175
1.3266463415,0.0841463415,-8.4809723243
1.3276469669,0.0851469669,-8.4991424546
1.3286475922,0.0861475922,-8.5177749579
1.3296482176,0.0871482176,-8.5368821325
1.3306488430,0.0881488430,-8.5564770798
1.3316494684,0.0891494684,-8.5765737649
1.3326500938,0.0901500938,-8.5971870840
1.3336507192,0.0911507192,-8.6183329376
1.3346513446,0.0921513446,-8.6400283130
1.3356519700,0.0931519700,-8.6622913746
1.3366525954,0.0941525954,-8.6851415648
1.3376532208,0.0951532208,-8.7085997168
1.3386538462,0.0961538462,-8.7326881800
1.3396544715,0.0971544715,-8.7574309602
1.3406550969,0.0981550969,-8.7828538773
1.3416557223,0.0991557223,-8.8089847427
1.3426563477,0.1001563477,-8.8358535588
1.3436569731,0.1011569731,-8.8634927456
1.3446575985,0.1021575985,-8.8919373966
1.3456582239,0.1031582239,-8.9212255710
1.3466588493,0.1041588493,-8.9513986269
1.3476594747,0.1051594747,-8.9825016035
1.3486601001,0.1061601001,-9.0145836605
1.3496607255,0.1071607255,-9.0476985857
1.3506613508,0.1081613508,-9.0819053840
1.3516619762,0.1091619762,-9.1172689633
1.3526626016,0.1101626016,-9.1538609382
1.3536632270,0.1111632270,-9.1917605751
1.3546638524,0.1121638524,-9.2310559112
1.3556644778,0.1131644778,-9.2718450864
1.3566651032,0.1141651032,-9.3142379379
1.3576657286,0.1151657286,-9.3583579241
1.3586663540,0.1161663540,-9.4043444616
1.3596669794,0.1171669794,-9.4523557860
1.3606676048,0.1181676048,-9.5025724858
1.3616682301,0.1191682301,-9.5552019071
1.3626688555,0.1201688555,-9.6104837008
1.3636694809,0.1211694809,-9.6686968875
1.3646701063,0.1221701063,-9.7301689672
1.3656707317,0.1231707317,-9.7952878268
1.3666713571,0.1241713571,-9.8645175472
1.3676719825,0.1251719825,-9.9384197466
1.3686726079,0.1261726079,-10.0176829667
1.3696732333,0.1271732333,-10.1031640356
1.3706738587,0.1281738587,-10.1959477885
1.3716744841,0.1291744841,-10.2974358852
1.3726751094,0.1301751094,-10.4094835906
1.3736757348,0.1311757348,-10.5346194029
1.3746763602,0.1321763602,-10.6764161550
1.3756769856,0.1331769856,-10.8401593099
1.3766776110,0.1341776110,-11.0341535289
1.3776782364,0.1351782364,-11.2725757911
1.3786788618,0.1361788618,-11.5827750059
