u,x,lnF
1.6275000000,-0.1500000000,-14.8612392222
1.6285006254,-0.1489993746,-14.8916695142
1.6295012508,-0.1479987492,-14.9238799386
1.6305018762,-0.1469981238,-14.9579514884
1.6315025016,-0.1459974984,-14.9939770926
1.6325031270,-0.1449968730,-15.0320633598
1.6335037523,-0.1439962477,-15.0723327098
1.6345043777,-0.1429956223,-15.1149259928
1.6355050031,-0.1419949969,-15.1600057300
1.6365056285,-0.1409943715,-15.2077601547
1.6375062539,-0.1399937461,-15.2584082974
1.6385068793,-0.1389931207,-15.3122064494
1.6395075047,-0.1379924953,-15.3694564742
1.6405081301,-0.1369918699,-15.4305166308
1.6415087555,-0.1359912445,-15.4958158758
1.6425093809,-0.1349906191,-15.5658730694
1.6435100063,-0.1339899937,-15.6413232476
1.6445106316,-0.1329893684,-15.7229543239
1.6455112570,-0.1319887430,-15.8117596113
1.6465118824,-0.1309881176,-15.9090151209
1.6475125078,-0.1299874922,-16.0163971288
1.6485131332,-0.1289868668,-16.1361681319
1.6495137586,-0.1279862414,-16.2714852868
1.6505143840,-0.1269856160,-16.4269430200
1.6515150094,-0.1259849906,-16.6096019920
1.6525156348,-0.1249843652,-16.8311442046
1.6535162602,-0.1239837398,-17.1130594912
1.6545168856,-0.1229831144,-17.5020678886
1.6555175109,-0.1219824891,-18.1371108185
1.6565181363,-0.1209818637,-20.2253523969
1.6575187617,-0.1199812383,-18.4376049886
1.6585193871,-0.1189806129,-17.6718859234
1.6595200125,-0.1179799875,-17.2487309610
1.6605206379,-0.1169793621,-16.9565310843
1.6615212633,-0.1159787367,-16.7342082041
1.6625218887,-0.1149781113,-16.5554982492
1.6635225141,-0.1139774859,-16.4066726128
1.6645231395,-0.1129768605,-16.2796450743
1.6655237649,-0.1119762351,-16.1692489553
1.6665243902,-0.1109756098,-16.0719813034
1.6675250156,-0.1099749844,-15.9853572290
1.6685256410,-0.1089743590,-15.9075499549
1.6695262664,-0.1079737336,-15.8371771229
1.6705268918,-0.1069731082,-15.7731673722
1.6715275172,-0.1059724828,-15.7146735210
1.6725281426,-0.1049718574,-15.6610140855
1.6735287680,-0.1039712320,-15.6116327151
1.6745293934,-0.1029706066,-15.5660693346
1.6755300188,-0.1019699812,-15.5239391603
1.6765306442,-0.1009693558,-15.4849171436
1.6775312695,-0.0999687305,-15.4487262416
1.6785318949,-0.0989681051,-15.4151284356
1.6795325203,-0.0979674797,-15.3839177616
1.6805331457,-0.0969668543,-15.3549148340
1.6815337711,-0.0959662289,-15.3279624937
1.6825343965,-0.0949656035,-15.3029223162
1.6835350219,-0.0939649781,-15.2796717824
1.6845356473,-0.0929643527,-15.2581019664
1.6855362727,-0.0919637273,-15.2381156325
1.6865368981,-0.0909631019,-15.2196256557
1.6875375235,-0.0899624765,-15.2025537032
1.6885381488,-0.0889618512,-15.1868291269
1.6895387742,-0.0879612258,-15.1723880263
1.6905393996,-0.0869606004,-15.1591724535
1.6915400250,-0.0859599750,-15.1471297333
1.6925406504,-0.0849593496,-15.1362118804
1.6935412758,-0.0839587242,-15.1263750973
1.6945419012,-0.0829580988,-15.1175793388
1.6955425266,-0.0819574734,-15.1097879353
1.6965431520,-0.0809568480,-15.1029672631
1.6975437774,-0.0799562226,-15.0970864568
1.6985444028,-0.0789555972,-15.0921171567
1.6995450281,-0.0779549719,-15.0880332868
1.7005456535,-0.0769543465,-15.0848108588
1.7015462789,-0.0759537211,-15.0824277987
1.7025469043,-0.0749530957,-15.0808637937
1.7035475297,-0.0739524703,-15.0801001558
1.7045481551,-0.0729518449,-15.0801197010
1.7055487805,-0.0719512195,-15.0809066409
1.7065494059,-0.0709505941,-15.0824464874
1.7075500313,-0.0699499687,-15.0847259666
1.7085506567,-0.0689493433,-15.0877329425
1.7095512821,-0.0679487179,-15.0914563492
1.7105519074,-0.0669480926,-15.0958861298
1.7115525328,-0.0659474672,-15.1010131826
1.7125531582,-0.0649468418,-15.1068293133
1.7135537836,-0.0639462164,-15.1133271921
1.7145544090,-0.0629455910,-15.1205003168
1.7155550344,-0.0619449656,-15.1283429793
1.7165556598,-0.0609443402,-15.1368502377
1.7175562852,-0.0599437148,-15.1460178911
1.7185569106,-0.0589430894,-15.1558424590
1.7195575360,-0.0579424640,-15.1663211640
1.7205581614,-0.0569418386,-15.1774519170
1.7215587867,-0.0559412133,-15.1892333073
1.7225594121,-0.0549405879,-15.2016645938
1.7235600375,-0.0539399625,-15.2147457007
1.7245606629,-0.0529393371,-15.2284772155
1.7255612883,-0.0519387117,-15.2428603900
1.7265619137,-0.0509380863,-15.2578971441
1.7275625391,-0.0499374609,-15.2735900732
1.7285631645,-0.0489368355,-15.2899424576
1.7295637899,-0.0479362101,-15.3069582764
1.7305644153,-0.0469355847,-15.3246422230
1.7315650407,-0.0459349593,-15.3429997261
1.7325656660,-0.0449343340,-15.3620369720
1.7335662914,-0.0439337086,-15.3817609330
1.7345669168,-0.0429330832,-15.4021793983
1.7355675422,-0.0419324578,-15.4233010102
1.7365681676,-0.0409318324,-15.4451353052
1.7375687930,-0.0399312070,-15.4676927602
1.7385694184,-0.0389305816,-15.4909848443
1.7395700438,-0.0379299562,-15.5150240779
1.7405706692,-0.0369293308,-15.5398240981
1.7415712946,-0.0359287054,-15.5653997327
1.7425719199,-0.0349280801,-15.5917670827
1.7435725453,-0.0339274547,-15.6189436153
1.7445731707,-0.0329268293,-15.6469482679
1.7455737961,-0.0319262039,-15.6758015649
1.7465744215,-0.0309255785,-15.7055257491
1.7475750469,-0.0299249531,-15.7361449298
1.7485756723,-0.0289243277,-15.7676852497
1.7495762977,-0.0279237023,-15.8001750734
1.7505769231,-0.0269230769,-15.8336452015
1.7515775485,-0.0259224515,-15.8681291132
1.7525781739,-0.0249218261,-15.9036632431
1.7535787992,-0.0239212008,-15.9402872967
1.7545794246,-0.0229205754,-15.9780446130
1.7555800500,-0.0219199500,-16.0169825805
1.7565806754,-0.0209193246,-16.0571531184
1.7575813008,-0.0199186992,-16.0986132329
1.7585819262,-0.0189180738,-16.1414256665
1.7595825516,-0.0179174484,-16.1856596554
1.7605831770,-0.0169168230,-16.2313918211
1.7615838024,-0.0159161976,-16.2787072227
1.7625844278,-0.0149155722,-16.3277006067
1.7635850532,-0.0139149468,-16.3784779023
1.7645856785,-0.0129143215,-16.4311580185
1.7655863039,-0.0119136961,-16.4858750231
1.7665869293,-0.0109130707,-16.5427808023
1.7675875547,-0.0099124453,-16.6020483352
1.7685881801,-0.0089118199,-16.6638757620
1.7695888055,-0.0079111945,-16.7284914881
1.7705894309,-0.0069105691,-16.7961606577
1.7715900563,-0.0059099437,-16.8671934628
1.7725906817,-0.0049093183,-16.9419559507
1.7735913071,-0.0039086929,-17.0208842875
1.7745919325,-0.0029080675,-17.1045038973
1.7755925578,-0.0019074422,-17.1934556230
1.7765931832,-0.0009068168,-17.2885322475
1.7775938086,0.0000938086,-17.3907307255
1.7785944340,0.0010944340,-17.5013290059
1.7795950594,0.0020950594,-17.6220027958
1.7805956848,0.0030956848,-17.7550101087
1.7815963102,0.0040963102,-17.9034970976
1.7825969356,0.0050969356,-18.0720355006
1.7835975610,0.0060975610,-18.2676404050
1.7845981864,0.0070981864,-18.5018979403
1.7855988118,0.0080988118,-18.7960721162
1.7865994371,0.0090994371,-19.1962252674
1.7876000625,0.0101000625,-19.8383325938
1.7886006879,0.0111006879,-21.8475021252
1.7896013133,0.0121013133,-20.1988294879
1.7906019387,0.0131019387,-19.4365836764
1.7916025641,0.0141025641,-19.0241187188
1.7926031895,0.0151031895,-18.7442513258
1.7936038149,0.0161038149,-18.5349320376
1.7946044403,0.0171044403,-18.3695938492
1.7956050657,0.0181050657,-18.2343857389
1.7966056911,0.0191056911,-18.1211646385
1.7976063164,0.0201063164,-18.0247355843
1.7986069418,0.0211069418,-17.9415814462
1.7996075672,0.0221075672,-17.8692108108
1.8006081926,0.0231081926,-17.8057948521
1.8016088180,0.0241088180,-17.7499519504
1.8026094434,0.0251094434,-17.7006133207
1.8036100688,0.0261100688,-17.6569356339
1.8046106942,0.0271106942,-17.6182421948
1.8056113196,0.0281113196,-17.5839821634
1.8066119450,0.0291119450,-17.5537015617
1.8076125704,0.0301125704,-17.5270222033
1.8086131957,0.0311131957,-17.5036260844
1.8096138211,0.0321138211,-17.4832436218
1.8106144465,0.0331144465,-17.4656446569
1.8116150719,0.0341150719,-17.4506314804
1.8126156973,0.0351156973,-17.4380333604
1.8136163227,0.0361163227,-17.4277022014
1.8146169481,0.0371169481,-17.4195090685
1.8156175735,0.0381175735,-17.4133413793
1.8166181989,0.0391181989,-17.4091006181
1.8176188243,0.0401188243,-17.4067004619
1.8186194497,0.0411194497,-17.4060652357
1.8196200750,0.0421200750,-17.4071286327
1.8206207004,0.0431207004,-17.4098326485
1.8216213258,0.0441213258,-17.4141266932
1.8226219512,0.0451219512,-17.4199668480
1.8236225766,0.0461225766,-17.4273152447
1.8246232020,0.0471232020,-17.4361395470
1.8256238274,0.0481238274,-17.4464125199
1.8266244528,0.0491244528,-17.4581116744
1.8276250782,0.0501250782,-17.4712189779
1.8286257036,0.0511257036,-17.4857206229
1.8296263290,0.0521263290,-17.5016068481
