u,x,lnF
2.2250000000,-0.1500000000,-30.8308825710
2.2260006254,-0.1489993746,-30.8908026660
2.2270012508,-0.1479987492,-30.9554783602
2.2280018762,-0.1469981238,-31.0251591283
2.2290025016,-0.1459974984,-31.1001539754
2.2300031270,-0.1449968730,-31.1808437987
2.2310037523,-0.1439962477,-31.2676981790
2.2320043777,-0.1429956223,-31.3612984375
2.2330050031,-0.1419949969,-31.4623697931
2.2340056285,-0.1409943715,-31.5718271249
2.2350062539,-0.1399937461,-31.6908417282
2.2360068793,-0.1389931207,-31.8209416439
2.2370075047,-0.1379924953,-31.9641679830
2.2380081301,-0.1369918699,-32.1233293994
2.2390087555,-0.1359912445,-32.3024393432
2.2400093809,-0.1349906191,-32.5075204875
2.2410100063,-0.1339899937,-32.7482225931
2.2420106316,-0.1329893684,-33.0414979362
2.2430112570,-0.1319887430,-33.4215854675
2.2440118824,-0.1309881176,-33.9765089865
2.2450125078,-0.1299874922,-35.1086690536
2.2460131332,-0.1289868668,-35.2107451601
2.2470137586,-0.1279862414,-34.1503584515
2.2480143840,-0.1269856160,-33.6940743543
2.2490150094,-0.1259849906,-33.4170246222
2.2500156348,-0.1249843652,-33.2289260291
2.2510162602,-0.1239837398,-33.0951352859
2.2520168856,-0.1229831144,-32.9987465943
2.2530175109,-0.1219824891,-32.9303342344
2.2540181363,-0.1209818637,-32.8842054695
2.2550187617,-0.1199812383,-32.8567667140
2.2560193871,-0.1189806129,-32.8457252894
2.2570200125,-0.1179799875,-32.8496719758
2.2580206379,-0.1169793621,-32.8678594176
2.2590212633,-0.1159787367,-32.9000954184
2.2600218887,-0.1149781113,-32.9467169359
2.2610225141,-0.1139774859,-33.0086369524
2.2620231395,-0.1129768605,-33.0874784810
2.2630237649,-0.1119762351,-33.1858399770
2.2640243902,-0.1109756098,-33.3077939174
2.2650250156,-0.1099749844,-33.4598541918
2.2660256410,-0.1089743590,-33.6530103959
2.2670262664,-0.1079737336,-33.9075927977
2.2680268918,-0.1069731082,-34.2675154290
2.2690275172,-0.1059724828,-34.8601012931
2.2700281426,-0.1049718574,-36.6151166372
2.2710287680,-0.1039712320,-35.2662860905
2.2720293934,-0.1029706066,-34.4472652348
2.2730300188,-0.1019699812,-34.0031650235
2.2740306442,-0.1009693558,-33.6984836831
2.2750312695,-0.0999687305,-33.4679939792
2.2760318949,-0.0989681051,-33.2840850508
2.2770325203,-0.0979674797,-33.1324366567
2.2780331457,-0.0969668543,-33.0046480100
2.2790337711,-0.0959662289,-32.8953613937
2.2800343965,-0.0949656035,-32.8009461996
2.2810350219,-0.0939649781,-32.7188261797
2.2820356473,-0.0929643527,-32.6471059478
2.2830362727,-0.0919637273,-32.5843499194
2.2840368981,-0.0909631019,-32.5294446037
2.2850375235,-0.0899624765,-32.4815091450
2.2860381488,-0.0889618512,-32.4398351378
2.2870387742,-0.0879612258,-32.4038449181
2.2880393996,-0.0869606004,-32.3730619148
2.2890400250,-0.0859599750,-32.3470891057
2.2900406504,-0.0849593496,-32.3255930606
2.2910412758,-0.0839587242,-32.3082919240
2.2920419012,-0.0829580988,-32.2949462314
2.2930425266,-0.0819574734,-32.2853518025
2.2940431520,-0.0809568480,-32.2793341810
2.2950437774,-0.0799562226,-32.2767442454
2.2960444028,-0.0789555972,-32.2774547180
2.2970450281,-0.0779549719,-32.2813573759
2.2980456535,-0.0769543465,-32.2883608132
2.2990462789,-0.0759537211,-32.2983886492
2.3000469043,-0.0749530957,-32.3113780972
2.3010475297,-0.0739524703,-32.3272788325
2.3020481551,-0.0729518449,-32.3460521151
2.3030487805,-0.0719512195,-32.3676701297
2.3040494059,-0.0709505941,-32.3921155202
2.3050500313,-0.0699499687,-32.4193811015
2.3060506567,-0.0689493433,-32.4494697369
2.3070512821,-0.0679487179,-32.4823943784
2.3080519074,-0.0669480926,-32.5181782713
2.3090525328,-0.0659474672,-32.5568553302
2.3100531582,-0.0649468418,-32.5984707008
2.3110537836,-0.0639462164,-32.6430815296
2.3120544090,-0.0629455910,-32.6907579705
2.3130550344,-0.0619449656,-32.7415844710
2.3140556598,-0.0609443402,-32.7956613922
2.3150562852,-0.0599437148,-32.8531070364
2.3160569106,-0.0589430894,-32.9140601808
2.3170575360,-0.0579424640,-32.9786832471
2.3180581614,-0.0569418386,-33.0471662842
2.3190587867,-0.0559412133,-33.1197320041
2.3200594121,-0.0549405879,-33.1966422029
2.3210600375,-0.0539399625,-33.2782060306
2.3220606629,-0.0529393371,-33.3647907676
2.3230612883,-0.0519387117,-33.4568360663
2.3240619137,-0.0509380863,-33.5548730670
2.3250625391,-0.0499374609,-33.6595505274
2.3260631645,-0.0489368355,-33.7716712888
2.3270637899,-0.0479362101,-33.8922444017
2.3280644153,-0.0469355847,-34.0225617434
2.3290650407,-0.0459349593,-34.1643143854
2.3300656660,-0.0449343340,-34.3197763699
2.3310662914,-0.0439337086,-34.4921090018
2.3320669168,-0.0429330832,-34.6858950804
2.3330675422,-0.0419324578,-34.9081494559
2.3340681676,-0.0409318324,-35.1704287467
2.3350687930,-0.0399312070,-35.4938855003
2.3360694184,-0.0389305816,-35.9241888249
2.3370700438,-0.0379299562,-36.5954066846
2.3380706692,-0.0369293308,-38.5828553107
2.3390712946,-0.0359287054,-37.0503452106
2.3400719199,-0.0349280801,-36.3198971207
2.3410725453,-0.0339274547,-35.9461908231
2.3420731707,-0.0329268293,-35.7082407616
2.3430737961,-0.0319262039,-35.5434320253
2.3440744215,-0.0309255785,-35.4251081072
2.3450750469,-0.0299249531,-35.3394688495
2.3460756723,-0.0289243277,-35.2784860554
2.3470762977,-0.0279237023,-35.2371216919
2.3480769231,-0.0269230769,-35.2120520212
2.3490775485,-0.0259224515,-35.2010164820
2.3500781739,-0.0249218261,-35.2024592731
2.3510787992,-0.0239212008,-35.2153216821
2.3520794246,-0.0229205754,-35.2389186303
2.3530800500,-0.0219199500,-35.2728662304
2.3540806754,-0.0209193246,-35.3170433682
2.3550813008,-0.0199186992,-35.3715791171
2.3560819262,-0.0189180738,-35.4368634248
2.3570825516,-0.0179174484,-35.5135832177
2.3580831770,-0.0169168230,-35.6027915468
2.3590838024,-0.0159161976,-35.7060258020
2.3600844278,-0.0149155722,-35.8255063279
2.3610850532,-0.0139149468,-35.9644779855
2.3620856785,-0.0129143215,-36.1278272294
2.3630863039,-0.0119136961,-36.3232819895
2.3640869293,-0.0109130707,-36.5639996367
2.3650875547,-0.0099124453,-36.8750524670
2.3660881801,-0.0089118199,-37.3140113254
2.3670888055,-0.0079111945,-38.0735077033
2.3680894309,-0.0069105691,-40.4960547378
2.3690900563,-0.0059099437,-37.9584571064
2.3700906817,-0.0049093183,-37.3345795534
2.3710913071,-0.0039086929,-36.9752669982
2.3720919325,-0.0029080675,-36.7297745578
2.3730925578,-0.0019074422,-36.5488219184
2.3740931832,-0.0009068168,-36.4100496121
2.3750938086,0.0000938086,-36.3014158447
2.3760944340,0.0010944340,-36.2157029436
2.3770950594,0.0020950594,-36.1482579110
2.3780956848,0.0030956848,-36.0959217018
2.3790963102,0.0040963102,-36.0564682144
2.3800969356,0.0050969356,-36.0282875408
2.3810975610,0.0060975610,-36.0101966624
2.3820981864,0.0070981864,-36.0013213496
2.3830988118,0.0080988118,-36.0010202207
2.3840994371,0.0090994371,-36.0088351184
2.3851000625,0.0101000625,-36.0244588162
2.3861006879,0.0111006879,-36.0477148546
2.3871013133,0.0121013133,-36.0785465399
2.3881019387,0.0131019387,-36.1170135882
2.3891025641,0.0141025641,-36.1632959691
2.3901031895,0.0151031895,-36.2177054703
2.3911038149,0.0161038149,-36.2807065945
2.3921044403,0.0171044403,-36.3529498933
2.3931050657,0.0181050657,-36.4353231636
2.3941056911,0.0191056911,-36.5290298908
2.3951063164,0.0201063164,-36.6357115174
2.3961069418,0.0211069418,-36.7576440559
2.3971075672,0.0221075672,-36.8980684274
2.3981081926,0.0231081926,-37.0617786360
2.3991088180,0.0241088180,-37.2562521084
2.4001094434,0.0251094434,-37.4940574265
2.4011100688,0.0261100688,-37.7987888346
2.4021106942,0.0271106942,-38.2234057725
2.4031113196,0.0281113196,-38.9365034646
